Kata,Frekuensi,Jumlah Subtoken
samgat,66,3
masyaallah,66,2
topup,65,2
pelayananx,65,2
bermamfaat,65,3
sekrang,65,2
mantaff,65,2
sprti,65,2
cept,65,2
plaga,65,2
aplksi,65,3
penukaran,64,3
updatenya,64,2
tambh,64,2
hadehh,64,2
jugaa,63,2
emng,63,2
bntu,63,2
diperbanyak,63,2
raijua,63,3
kelistrikkan,63,3
pemakain,63,2
gandoss,63,2
dahh,62,2
ciracas,62,3
enim,62,2
bagas,62,2
idup,62,2
mengintai,61,3
zonk,61,2
terpantau,61,2
gass,61,2
lwat,61,2
worth,61,2
martapura,61,2
ditanganin,61,2
taik,61,2
ngebug,60,2
thankyou,60,2
drumah,60,2
kira2,60,2
gannguan,60,3
sblm,60,2
nyalah,60,2
pelayananan,60,2
sengat,60,2
sgala,59,2
moblie,59,2
terbaiklah,59,2
bosku,59,2
donwload,59,3
voucer,59,3
yh,59,2
penggaduan,59,2
ayoo,59,2
dibenerin,58,3
notifnya,58,3
molis,58,2
woww,58,2
hbs,58,2
truss,58,2
helpful,58,2
referal,58,2
seputaran,58,2
sanget,58,2
pencatat,58,2
diskonnya,58,2
nxa,58,3
terkhusus,57,2
verifikasinya,57,2
semkin,57,2
dtang,57,2
daptar,57,2
kodenya,57,2
ngetik,57,2
bgtu,57,2
mepermudah,57,3
bermohon,57,2
lustrik,57,2
layan,57,2
iconnect,57,3
sanagat,56,3
bisaa,56,2
diinput,56,2
kemudahannya,56,2
mobie,56,2
respect,56,2
plsa,56,2
pengaduhan,56,3
lngsng,56,3
gngguan,56,3
strom,55,2
aplikasii,55,2
parahh,55,2
ux,55,2
perbaikin,55,2
logout,55,2
indihome,55,3
50rb,55,2
dikasi,55,2
tida,55,2
taunya,55,2
swa,55,2
sahar,54,2
kapok,54,2
trbaik,54,2
skg,54,2
woi,54,2
tindaklanjut,54,2
gaperlu,54,3
prasodjo,54,3
nyesal,54,3
adax,54,2
mebeli,54,2
3jam,54,2
inovasinya,54,2
sangatmembantu,53,3
hubungin,53,2
bukanya,53,2
bojonggede,53,3
liatrik,53,2
ngirim,53,2
utuk,53,2
mobiel,52,3
trimksih,52,3
tunggakan,52,2
langsng,52,2
arun,52,2
pengduan,52,3
pbpd,52,2
baik2,52,2
pangaduan,52,2
pln123,51,2
imei,51,2
sekli,51,2
mnit,51,2
200rb,51,2
jayah,51,2
pkoknya,51,2
ketenagalistrikan,51,4
mlah,51,2
applikasinya,51,2
jayaa,51,2
adminya,51,2
tokenya,51,2
palayanan,51,3
pembayar,51,2
lanjutin,50,2
apalikasi,50,2
berjam2,50,2
mobill,50,2
gaes,50,2
kendor,50,2
bgi,50,2
responsnya,50,2
orang2,50,2
marketplacenya,50,2
gatau,50,2
4g,49,2
kntor,49,2
gengaman,49,2
hnya,49,2
listtik,49,2
terblokir,49,2
dikantor,49,3
responsive,49,2
tebaik,49,3
recep,49,2
sblmnya,49,2
nyuruh,49,2
tnpa,49,2
bner,49,2
playanannya,48,3
suwun,48,2
ganggun,48,2
kelistrikannya,48,2
bergilir,48,2
litrik,48,2
mantp,48,2
thebest,48,3
alpikasi,48,2
syaa,48,2
bermanpaat,48,3
ujan,48,2
pungut,48,2
konsleting,48,2
perkuat,48,2
helpfull,48,2
r1,48,2
bnr,48,2
baget,48,2
gaguan,47,2
masala,47,2
1x,47,2
trmks,47,3
khobar,47,2
psang,47,2
ckup,47,2
langsa,47,2
merekomendasikan,47,2
tdi,47,2
melalukan,47,2
ruma,47,2
nyangka,47,3
terimaksi,46,3
kesigapan,46,3
ditanggapin,46,2
ngaco,46,2
coverage,46,2
20rb,46,2
alhamdulillaah,46,3
samanya,46,2
jls,46,2
sanagt,46,3
bayarkan,46,2
prihal,46,2
mageran,46,2
bkin,46,2
kasihh,46,2
listrikk,46,2
priksa,45,3
pemasang,45,2
hpi,45,2
ngantri,45,2
apliksinya,45,2
nungguin,45,2
mobole,45,2
bermanfa,45,2
terpecaya,45,2
pelaporannya,45,2
atw,45,2
alhamdullilah,45,3
pkai,45,2
repon,45,2
tracing,45,2
mslah,45,2
loding,45,2
apli,45,2
penaganan,45,3
bangeet,45,2
buang2,45,2
interkoneksi,44,3
cuan,44,2
pekerjanya,44,2
tlfn,44,3
pengoperasiannya,44,2
haleyora,44,3
rata2,44,2
bales,44,2
lohh,44,2
donload,44,2
dftr,44,2
pelayann,44,2
gunain,44,2
cpet,44,2
ngelapor,44,2
pokoknyaa,44,2
siipp,43,3
ribett,43,2
dirmh,43,2
joob,43,2
gangguang,43,2
komplin,43,2
tau2,43,2
30menit,43,2
pembyaran,43,2
ditelfon,43,2
ntah,43,2
terimahkasih,43,3
mntp,43,2
beress,43,2
mobilr,43,2
ujung2nya,43,3
gaptek,42,2
pelayaan,42,2
adain,42,2
pakainya,42,2
penanganya,42,2
muncul2,42,2
aplikasnya,42,2
gelegar,42,2
keluahan,42,3
downlod,42,3
k3,42,2
naikan,42,2
semuax,42,2
tetang,42,2
ratingnya,42,2
muantap,42,2
kebantu,42,3
nuwun,42,2
formalitas,42,2
mksi,42,2
p2tl,42,3
mangkin,42,2
penganduan,42,3
mantaabb,42,3
kash,41,2
trmksih,41,3
dsn,41,2
2hari,41,2
centernya,41,2
lisrik,41,2
plosok,41,2
mrmbantu,41,3
trimaksi,41,3
nnti,41,2
babelan,41,2
pengecasan,41,2
bisah,41,2
geratis,41,2
monile,41,2
ssngat,41,3
manta,41,2
hri,41,2
recomend,41,2
mhon,41,2
allhamdulillah,41,2
abangku,40,2
bulan2,40,2
mudan,40,2
trimaksh,40,3
undiannya,40,2
sering2,40,2
operatornya,40,2
tksh,40,2
catet,40,2
kelapangan,40,2
terimakasihh,40,2
ngulang,40,2
bermafaat,40,3
pembayaranya,40,2
okeh,40,2
sumbagut,40,3
gubris,40,2
losstrom,39,3
electricity,39,2
singkron,39,2
b1,39,2
dgunakan,39,3
beliti,39,2
bbrpa,39,2
toke,39,2
plnku,39,2
lama2,39,2
mantau,39,2
sutt,39,2
reapon,39,3
capat,39,2
dmn,39,2
kwhnya,39,2
maximal,39,2
pelayananny,39,2
terimasih,39,2
akunnya,39,2
pltg,39,2
pelangganya,39,2
bangking,39,2
updet,39,2
haduh,39,2
infomasi,38,2
apd,38,2
rumh,38,2
pertahan,38,2
tuker,38,2
pascabencana,38,3
asu,38,2
bangeett,38,3
teman2,38,2
ttep,38,2
adany,38,2
ribet2,38,2
hbis,38,2
brandan,38,2
ngh,38,2
keseringan,38,2
dimasukin,38,2
msuk,38,2
bpk2,38,2
diupgrade,38,2
alhmdulillah,38,5
timika,38,2
sayaa,38,2
mantapss,38,2
nyalanya,37,2
ptgs,37,2
shg,37,2
iml,37,2
russia,37,2
trutama,37,2
upgred,37,3
r1m,37,3
nyala2,37,2
ganggua,37,2
sabgat,37,3
mempersingkat,37,2
smuanya,37,2
emailnya,37,2
plikasi,37,2
haturnuhun,37,4
snagat,37,2
urc,37,2
done,37,2
respone,37,2
kmren,37,2
mengaksesnya,37,2
nyangkut,37,4
gulita,36,2
informasi2,36,2
betulin,36,2
stuck,36,2
makasihh,36,2
nyalain,36,2
proliga,36,3
bereh,36,2
sdg,36,2
bermanfat,36,2
akhir2,36,2
dya,36,2
lapornya,36,2
10x,36,2
bulanya,36,2
appsnya,36,2
500rb,36,2
propesional,36,3
indomart,36,2
useful,36,2
hadeuh,36,3
pelayananannya,36,2
allhamdulilah,36,3
mna,36,2
bulungan,36,2
batalin,35,2
biyaya,35,3
pelangga,35,2
manteb,35,2
cma,35,2
terikasih,35,2
cust,35,2
karebosi,35,3
sehat2,35,2
diklik,35,2
v003,35,3
ditelp,35,2
viar,35,2
betul2,35,2
kerjain,35,2
permudahkan,35,2
progresnya,35,2
prlu,35,2
pokoe,35,2
slesai,35,2
fiktur,35,2
tanks,35,2
kabelnya,35,2
kolaka,35,2
didesa,35,2
tlng,35,2
ario,35,2
lapur,34,2
apliksai,34,2
sekarng,34,2
laah,34,2
ramahh,34,2
sayangkan,34,2
alesan,34,2
thd,34,2
sae,34,2
mengantri,34,2
naikkan,34,2
buraydah,34,3
jeddah,34,2
ngetop,34,2
payahh,34,2
lola,34,2
alhmdllh,34,4
plts,34,2
bergunaa,34,2
icconet,34,3
alhmdulilah,34,4
pengunaan,34,3
2jam,34,2
nelfon,34,2
kebakar,34,2
dann,34,2
ewallet,34,3
hofuf,34,3
pembayarn,34,3
dammam,34,3
kalok,34,2
pengaduanya,34,2
midah,34,2
dimeteran,34,3
dalan,34,2
sgat,33,2
tual,33,2
trmksi,33,3
penganan,33,2
bgini,33,2
semogah,33,2
apdet,33,3
gercap,33,2
dangat,33,2
masyarkat,33,2
pembeliannya,33,2
tamper,33,2
mubai,33,2
termonitor,33,2
ikutin,33,2
rmah,33,2
wkt,33,2
tanggapnya,33,2
nihh,33,2
dikerjain,33,2
tawwa,33,2
perluas,33,2
dolok,33,2
ajaa,33,2
maturnuwun,33,3
penangganan,33,2
hati2,33,2
jngn,33,3
travo,33,2
kelistikan,33,3
lemoot,33,3
mentang,33,2
50k,33,2
trx,32,2
segini,32,2
pelayanya,32,2
peroses,32,2
ceoat,32,2
multiguna,32,2
aplikasine,32,2
pemadamannya,32,2
pulogadung,32,3
bangt,32,2
nunggak,32,3
vocher,32,2
layana,32,2
hebatt,32,2
berhari2,32,2
claim,32,2
masyarakt,32,2
digenggaman,32,3
aps,32,2
trnyata,32,2
termakasih,32,3
penerang,32,2
tinjau,32,2
alikasi,32,3
unistal,32,2
woyy,32,2
