Istilah,Frekuensi korpus domain-spesifik,Frekuensi Indo4B,Per sejuta korpus domain-spesifik,Per sejuta Indo4B,Log likelihood,Lebih khas pada,Signifikan,Istilah kelistrikan
layanannya,773,12537,254.54,3.83,4921.1,Domain-spesifik,ya,tidak
pelangan,527,1729,173.53,0.53,4912.16,Domain-spesifik,ya,tidak
upgrade,1162,59779,382.63,18.25,4838.48,Domain-spesifik,ya,tidak
beberapa,1399,6255204,460.67,1909.43,4817.89,Indo4B,ya,tidak
pelayan,1272,81370,418.85,24.84,4776.48,Domain-spesifik,ya,tidak
melayani,2354,395060,775.14,120.59,4774.26,Domain-spesifik,ya,tidak
menyala,1228,73838,404.36,22.54,4753.4,Domain-spesifik,ya,tidak
pemakaian,1784,217387,587.45,66.36,4604.36,Domain-spesifik,ya,tidak
sampe,1402,117395,461.66,35.84,4566.2,Domain-spesifik,ya,tidak
repot,1461,133222,481.09,40.67,4530.84,Domain-spesifik,ya,tidak
bikin,2270,395340,747.48,120.68,4462.84,Domain-spesifik,ya,tidak
digunakan,5930,2323762,1952.67,709.34,4451.87,Domain-spesifik,ya,tidak
suruh,972,40725,320.07,12.43,4424.94,Domain-spesifik,ya,tidak
terimaksih,555,3890,182.75,1.19,4412.91,Domain-spesifik,ya,tidak
permudah,493,2009,162.34,0.61,4407.04,Domain-spesifik,ya,tidak
rumah,8961,4371471,2950.73,1334.41,4399.62,Domain-spesifik,ya,tidak
info,3020,722863,994.44,220.66,4386.26,Domain-spesifik,ya,tidak
penangan,545,3816,179.46,1.16,4334.43,Domain-spesifik,ya,tidak
kalo,2922,701578,962.17,214.16,4229.86,Domain-spesifik,ya,tidak
indonesia,2016,6941952,663.84,2119.06,4155.94,Indo4B,ya,tidak
harga,871,4681587,286.81,1429.07,4137.67,Indo4B,ya,tidak
lambat,1618,200306,532.78,61.14,4130.72,Domain-spesifik,ya,tidak
lama,5382,2095772,1772.22,639.74,4083.65,Domain-spesifik,ya,tidak
skrg,778,23378,256.18,7.14,4034.75,Domain-spesifik,ya,tidak
masyarakat,7100,3236363,2337.93,987.91,4027.4,Domain-spesifik,ya,tidak
lancar,1734,252092,570.98,76.95,3940.96,Domain-spesifik,ya,tidak
min,1299,125641,427.74,38.35,3889.46,Domain-spesifik,ya,tidak
jdi,598,9071,196.91,2.77,3883.42,Domain-spesifik,ya,tidak
adminnya,481,3284,158.39,1.0,3847.94,Domain-spesifik,ya,tidak
prabayar,652,13534,214.69,4.13,3842.98,Domain-spesifik,ya,ya
smoga,642,13155,211.4,4.02,3799.96,Domain-spesifik,ya,tidak
ditingkatkan,1081,79555,355.96,24.28,3777.73,Domain-spesifik,ya,tidak
simpel,1043,72999,343.45,22.28,3741.99,Domain-spesifik,ya,tidak
mcb,502,4591,165.3,1.4,3741.81,Domain-spesifik,ya,ya
teknisi,911,48367,299.98,14.76,3739.23,Domain-spesifik,ya,ya
pengisian,1111,90987,365.84,27.77,3663.66,Domain-spesifik,ya,tidak
akses,2171,448521,714.88,136.91,3659.04,Domain-spesifik,ya,tidak
aduan,853,43484,280.88,13.27,3566.5,Domain-spesifik,ya,tidak
bantuannya,798,35174,262.77,10.74,3556.04,Domain-spesifik,ya,tidak
penyambungan,535,7900,176.17,2.41,3501.76,Domain-spesifik,ya,tidak
nomor,3551,1166836,1169.29,356.18,3498.39,Domain-spesifik,ya,tidak
selesai,2592,664077,853.51,202.71,3493.71,Domain-spesifik,ya,tidak
friendly,748,30818,246.31,9.41,3429.06,Domain-spesifik,ya,tidak
informatif,645,18169,212.39,5.55,3424.69,Domain-spesifik,ya,tidak
tindak,1377,179484,453.43,54.79,3390.82,Domain-spesifik,ya,tidak
periksa,1072,97071,352.99,29.63,3338.1,Domain-spesifik,ya,tidak
migrasi,697,25980,229.51,7.93,3328.05,Domain-spesifik,ya,ya
verifikasi,1103,107435,363.2,32.79,3288.59,Domain-spesifik,ya,ya
krn,903,63653,297.35,19.43,3227.76,Domain-spesifik,ya,tidak
mungkin,680,3638330,223.91,1110.62,3205.7,Indo4B,ya,tidak
tempat,908,4107331,298.99,1253.78,3193.86,Indo4B,ya,tidak
akurat,1443,218724,475.16,66.77,3176.14,Domain-spesifik,ya,tidak
kedepan,1028,96658,338.51,29.51,3130.72,Domain-spesifik,ya,tidak
perbaikan,1522,253694,501.17,77.44,3104.31,Domain-spesifik,ya,tidak
dah,1345,192518,442.89,58.77,3092.99,Domain-spesifik,ya,tidak
cara,2045,6121415,673.39,1868.59,3082.87,Indo4B,ya,tidak
merespon,834,55149,274.62,16.83,3080.21,Domain-spesifik,ya,tidak
pas,1850,391501,609.18,119.51,3046.54,Domain-spesifik,ya,tidak
download,2314,606320,761.97,185.08,3040.2,Domain-spesifik,ya,tidak
lapangan,1867,406600,614.78,124.12,2988.95,Domain-spesifik,ya,tidak
notifikasi,792,51011,260.79,15.57,2963.96,Domain-spesifik,ya,tidak
tanggapan,990,97056,325.99,29.63,2940.07,Domain-spesifik,ya,tidak
simple,1024,107867,337.19,32.93,2908.48,Domain-spesifik,ya,tidak
telpon,860,69297,283.19,21.15,2861.6,Domain-spesifik,ya,tidak
biar,1611,316398,530.48,96.58,2847.46,Domain-spesifik,ya,tidak
terselesaikan,621,26029,204.49,7.95,2826.58,Domain-spesifik,ya,tidak
menerangi,533,15212,175.51,4.64,2816.66,Domain-spesifik,ya,tidak
dilakukan,864,3732744,284.5,1139.44,2793.17,Indo4B,ya,tidak
bantu,1282,197349,422.14,60.24,2787.86,Domain-spesifik,ya,tidak
prosesnya,821,64447,270.34,19.67,2771.34,Domain-spesifik,ya,tidak
kota,871,3698141,286.81,1128.87,2725.9,Indo4B,ya,tidak
